Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Totals to Date,,
,,,2010,2011,2012,2010,2011,2012,2010,2011,2012,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2012
East Midland,Dairy,F,"1,505","1,520","1,543","1,520","1,522","1,640","1,491","1,628","1,662","1,413","1,519","1,445","1,496","1,700","1,735","2,103","1,947","2,421","2,565","2,636","2,251","2,185","2,262","2,015","2,059","1,889","1,791","22,323","22,295","4,845"
,,M,"1,222","1,072","1,171","1,215","1,177","1,339","1,242","1,340","1,420","1,189","1,169","1,167","1,149","1,514","1,389","1,776","1,609","1,930","2,018","1,995","1,826","1,639","1,741","1,348","1,578","1,235","1,439","17,472","17,507","3,930"
,Non Dairy,F,"2,128","2,249","2,169","2,968","2,876","3,455","5,790","5,873","6,356","6,308","6,805","5,066","5,268","3,525","3,518","3,254","3,001","2,721","2,401","2,348","2,180","2,188","2,070","1,941","1,926","1,753","1,766","39,990","39,933","11,980"
,,M,"2,086","2,199","2,160","2,912","2,952","3,465","5,873","5,870","6,480","6,557","6,929","5,100","5,314","3,631","3,687","3,412","3,237","2,754","2,578","2,428","2,313","2,263","2,191","2,006","2,013","1,899","1,852","40,921","41,135","12,105"
East Midlands/Yorkshire and the Humber,Dairy,F,169,173,163,94,133,117,131,134,162,96,89,83,93,105,82,179,176,193,264,260,234,194,219,197,200,188,207,"1,889","2,004",442
,,M,120,135,142,118,123,145,128,142,128,95,66,58,104,107,94,154,147,178,236,215,204,199,208,156,193,163,177,"1,691","1,829",415
,Non Dairy,F,770,785,773,"1,222","1,373","1,532","2,110","2,254","2,223","1,756","1,624",892,943,545,551,464,397,368,352,384,399,482,450,490,569,596,577,"10,079","10,274","4,528"
,,M,737,730,801,"1,205","1,334","1,494","2,231","2,246","2,195","1,756","1,658",925,966,546,521,442,365,362,351,448,410,444,505,502,589,591,541,"10,189","10,216","4,490"
Eastern,Dairy,F,512,485,486,432,393,440,466,448,387,470,355,439,405,451,377,591,541,744,610,821,653,707,645,658,536,588,481,"6,879","5,929","1,313"
,,M,457,429,412,373,340,378,441,369,372,391,309,402,403,374,382,525,447,682,508,615,583,601,528,527,426,496,396,"5,884","5,120","1,162"
,Non Dairy,F,"1,391","1,474","1,421","1,975","2,006","2,401","4,077","4,120","4,124","3,770","3,921","2,575","2,478","1,499","1,619","1,141","1,138","1,028",997,"1,093","1,120","1,099","1,030",932,994,"1,116","1,114","21,696","22,011","7,946"
,,M,"1,385","1,443","1,440","2,147","2,060","2,464","4,132","4,226","4,174","4,059","4,160","2,685","2,564","1,550","1,620","1,236","1,232","1,043","1,008","1,088","1,135","1,114","1,062",948,922,"1,061","1,123","22,448","22,555","8,078"
North East,Dairy,F,264,332,353,312,311,360,332,335,343,324,316,301,299,274,313,375,317,385,417,383,356,331,364,401,319,347,325,"4,029","4,004","1,056"
,,M,225,220,277,211,260,316,294,278,277,251,253,232,239,255,238,304,265,366,291,306,273,275,313,286,295,266,232,"3,271","3,157",870
,Non Dairy,F,"1,595","1,570","1,547","1,919","1,794","2,096","5,834","5,543","6,235","7,348","7,731","5,463","5,408","2,921","2,923","2,069","2,335","2,199","1,789","2,512","2,095","1,987","1,991","1,315","1,659","1,423","1,289","36,585","36,127","9,878"
,,M,"1,507","1,613","1,561","1,760","1,717","2,043","5,665","5,473","6,113","7,383","7,800","5,570","5,545","3,026","3,027","2,129","2,359","2,114","2,000","2,620","2,175","2,057","2,016","1,394","1,597","1,336","1,290","36,561","36,612","9,717"
North West,Dairy,F,"5,693","6,004","6,176","6,320","6,436","7,457","6,554","6,986","7,280","6,019","6,177","5,750","5,954","6,809","6,700","7,897","8,258","8,618","9,109","8,685","8,080","7,190","7,714","7,002","7,276","6,250","6,282","82,787","84,976","20,913"
,,M,"4,885","4,618","4,897","5,373","5,100","6,129","5,818","5,627","6,423","5,072","5,259","5,156","5,172","6,022","5,604","6,937","7,084","7,296","7,691","7,016","6,643","5,854","6,529","5,332","5,936","4,559","5,247","69,320","70,510","17,449"
,Non Dairy,F,"4,402","4,333","4,332","4,839","4,509","5,380","8,519","8,622","9,146","11,749","12,044","11,720","11,624","8,887","8,484","7,589","8,013","6,561","6,732","5,851","5,292","4,915","4,876","4,295","4,702","4,049","4,084","83,376","83,315","18,858"
,,M,"4,486","4,542","4,772","5,043","4,774","5,579","8,840","8,768","9,303","11,962","12,612","12,152","12,100","9,431","8,769","8,027","8,248","6,980","7,135","6,169","5,698","5,309","5,313","4,520","5,015","4,273","4,477","87,192","87,451","19,654"
Scotland,Dairy,F,"4,248","4,347","4,422","4,381","4,701","5,448","4,980","5,314","5,381","4,079","4,331","3,877","4,138","4,070","4,114","4,671","4,821","5,031","5,273","5,088","4,792","4,674","5,231","4,593","5,040","4,298","4,502","53,990","56,604","15,251"
,,M,"3,277","2,892","3,531","3,360","2,966","4,115","3,973","3,808","4,400","3,463","3,405","3,157","3,078","3,375","3,323","3,673","3,909","3,856","4,368","3,690","3,949","3,264","4,047","3,152","3,705","2,725","3,383","40,965","42,833","12,046"
,Non Dairy,F,"7,601","7,762","7,464","11,780","11,460","13,478","39,493","39,124","41,724","51,104","54,073","38,501","39,036","20,486","20,302","12,941","13,832","13,088","12,718","14,104","12,779","10,929","11,052","9,512","10,184","6,251","5,827","235,790","238,149","62,666"
