,product_image,product_description,product_on_offer,product_offer,product_weight,product_price,product_old_price,product_unit_price
0,https://groceries.morrisons.com/productImages/452/452289011_0_150x150.jpg?identifier=f73a206e0aed54984ddef83968985a99,Morrisons Low Calorie High Protein Salted Caramel Ice Cream500ml,Y,"Offer price £2, was £2.50",500ml,£2.00,£2.50,£4.00 per litre
1,https://groceries.morrisons.com/productImages/452/452291011_0_150x150.jpg?identifier=b36c0ec7195f2599756b296e25575af7,Morrisons Low Calorie High Protein Choc Chip Cookie Dough Ice Cream500ml,Y,"Offer price £2, was £2.50",500ml,£2.00,£2.50,£4.00 per litre
2,https://groceries.morrisons.com/productImages/452/452290011_0_150x150.jpg?identifier=c785d261ff4e7b84e81bfc38ffa05067,Morrisons Low Calorie High Protein Peanut Butter Ice Cream500ml,Y,"Offer price £2, was £2.50",500ml,£2.00,£2.50,£4.00 per litre
3,https://groceries.morrisons.com/productImages/449/449664011_0_150x150.jpg?identifier=311157ee8a1473cae1790f4b75b7bafc,Morrisons Green Apple & Pink Candyfloss Ice Cream900ml,Y,Buy 2 for £3,900ml,£2.00,,22.2p per 100ml
4,https://groceries.morrisons.com/productImages/338/338568011_0_150x150.jpg?identifier=ff0a95a3e4e011fde5cec14435349ff0,Morrisons The Best Salted Caramel Ice Cream500ml,N,,500ml,£2.85,,57p per 100ml
5,https://groceries.morrisons.com/productImages/338/338574011_0_150x150.jpg?identifier=3a0034629b8a590c8ff2771455047fbd,Morrisons The Best Madagascan Vanilla Ice Cream 500ml,N,,500ml,£2.85,,57p per 100ml
6,https://groceries.morrisons.com/productImages/409/409247011_0_150x150.jpg?identifier=4a4f702f1d902e1f661b11608b3c4117,Morrisons The Best Strawberry & Clotted Cream500ml,N,,500ml,£2.85,,57p per 100ml
7,https://groceries.morrisons.com/productImages/362/362101011_0_150x150.jpg?identifier=dbea4f32ad83b482eb09bf1851bdd5e1,Morrisons The Best Coconut Ice Lollies 4 Pack292ml,N,,292ml,£2.00,,68.5p per 100ml
8,https://groceries.morrisons.com/productImages/362/362102011_0_150x150.jpg?identifier=2f7b302d705e01d66cf9f9758fc2927d,Morrisons The Best Raspberry Lollies 4 Pack292ml,N,,292ml,£2.00,,68.5p per 100ml
9,https://groceries.morrisons.com/productImages/329/329481011_0_150x150.jpg?identifier=74eb1ae2168bfadf14d1ab8c562c45c3,Morrisons The Best Valencia Orange Lollies 4 Pack292ml,N,,292ml,£2.00,,68.5p per 100ml
10,https://groceries.morrisons.com/productImages/258/258550011_0_150x150.jpg?identifier=0c155ae176934d40211cb1fa52ccbfc6,Oxo SoftWorks Trigger Ice Cream Scoop,N,,,£8.50,,£8.50 each
11,https://groceries.morrisons.com/productImages/111/111009011_0_150x150.jpg?identifier=6e1f67446a7070a258792d094092fa86,"Twister Mini Pineapple, Lemon-Lime and Strawberry Ice Cream Lollies8 x 50ml",Y,Buy 2 for £3,8 x 50ml,£2.00,,50p per 100ml
12,https://groceries.morrisons.com/productImages/111/111004011_0_150x150.jpg?identifier=9bfd594a3f07065af7e71d7907cf1284,Rowntree's Fruit Pastilles Lollies4 x 65ml,Y,Buy 2 for £3,4 x 65ml,£2.00,,76.9p per 100ml
13,https://groceries.morrisons.com/productImages/289/289669011_0_150x150.jpg?identifier=992fd1b7ffddd1601a3d7d89d63102d5,Mars 4 pack Ice Cream Bars204ml,Y,Buy 2 for £3,204ml,£2.00,,98p per 100ml
14,https://groceries.morrisons.com/productImages/278/278932011_0_150x150.jpg?identifier=fdedda93e5e0df2372c27002ed91b3d6,Fab Ice Lollies Strawberry6 x 58ml,Y,Buy 2 for £3,6 x 58ml,£2.00,,57.5p per 100ml
15,https://groceries.morrisons.com/productImages/449/449752011_0_150x150.jpg?identifier=acd2da8f8829364f7e6cfd5e80342222,Magnum White Chocolate & Cookies270ml,Y,"Offer price £2, was £3.50",270ml,£2.00,£3.50,74.3p per 100ml
16,https://groceries.morrisons.com/productImages/317/317651011_0_150x150.jpg?identifier=9403e730bf305fb3c8a2f07823c32e84,Solero Exotic Explosion Ice Cream Sticks3 x 90ml,Y,Buy 2 for £3,3 x 90ml,£2.00,,74.1p per 100ml
17,https://groceries.morrisons.com/productImages/111/111011011_0_150x150.jpg?identifier=701780de62d84fa2e9d12f9fde5722a7,"Mini Milk Vanilla, Strawberry & Chocolate Ice Cream Lollies12 x 35ml",Y,Buy 2 for £3,12 x 35ml,£2.17,,51.7p per 100ml
18,https://groceries.morrisons.com/productImages/111/111010011_0_150x150.jpg?identifier=8077abb722dbc3950a188cf890f27735,Calippo Mini Orange & Lime Ice Lollies6 x 80ml,Y,Buy 2 for £3,6 x 80ml,£2.00,,41.7p per 100ml
19,https://groceries.morrisons.com/productImages/384/384170011_0_150x150.jpg?identifier=e71a779175e0084790d4d40919f7c000,Cadbury Dairy Milk Mini Cones8 x 25ml,Y,Buy 2 for £3,8 x 25ml,£2.00,,£1.00 per 100ml
20,https://groceries.morrisons.com/productImages/419/419178011_0_150x150.jpg?identifier=b1c71f7fb9d1f0c398cfc6a504d1282c,Wall'S Cornetto 6 X Classico540ml,Y,Buy 2 for £3,540ml,£2.00,,37p per 100ml
21,https://groceries.morrisons.com/productImages/111/111017011_0_150x150.jpg?identifier=7d036f9305dc1f2837ffdb1c362b2a59,Nestle Nobbly Bobbly Ice Lollies4 x 70ml,Y,Buy 2 for £3,4 x 70ml,£2.00,,71.4p per 100ml
22,https://groceries.morrisons.com/productImages/360/360412011_0_150x150.jpg?identifier=bcc8be7840d9816b52465579b597f06b,Magnum Double Raspberry Ice Cream Sticks3 x 88ml,Y,"Offer price £2, was £3.58",3 x 88ml,£2.00,£3.58,76p per 100ml
23,https://groceries.morrisons.com/productImages/413/413385011_0_150x150.jpg?identifier=5af71899c77be29ee237da6072dc7fa8,Magnum Mini Classic Almond White 6 Pack330ml,Y,"Offer price £2.50, was £4.23",330ml,£2.50,£4.23,75.7p per 100ml
24,https://groceries.morrisons.com/productImages/419/419179011_0_150x150.jpg?identifier=ffb3b8e4a9f8c4a387ae40caba350250,Wall'S Cornetto 6 X Strawberry540ml,Y,Buy 2 for £3,540ml,£2.00,,37p per 100ml
25,https://groceries.morrisons.com/productImages/261/261189011_0_150x150.jpg?identifier=0273edd763e0236cc6173ed6a45b72a2,Nestle Smarties Cone    6 x 70ml,Y,Buy 2 for £3,6 x 70ml,£2.00,,47.6p per 100ml
26,https://groceries.morrisons.com/productImages/111/111003011_0_150x150.jpg?identifier=d3604a822b1294c39a08ae565245feb6,Del Monte 100% Orange Juice Lollies3 x 75ml,Y,Buy 2 for £3,3 x 75ml,£2.00,,88.9p per 100ml
27,https://groceries.morrisons.com/productImages/405/405635011_0_150x150.jpg?identifier=647315e81d4ff2080931a78b24505c9b,Rowntrees Watermelon Lollies4 x 73ml,Y,Buy 2 for £3,4 x 73ml,£2.00,,68.5p per 100ml
